session,amplitude,presence,response_presence,reaction_time
3,3.0,1,1,0.2222
3,3.0,0,0,0.3121
3,3.0,0,1,0.486
3,3.0,0,0,0.3678
3,3.0,1,1,0.2319
3,3.0,0,0,0.2119
3,3.0,0,0,0.3379
3,3.0,1,1,0.2818
3,3.0,0,0,0.2786
3,3.0,0,0,0.226
3,3.0,0,0,0.232
3,3.0,0,0,0.3338
3,3.0,0,0,0.2643
4,3.0,1,1,0.3389
4,3.0,0,0,0.2898
4,3.0,0,0,0.318
4,3.0,0,0,0.2957
4,3.0,1,1,0.3078
4,3.0,1,1,0.1662
4,3.0,1,1,0.1884
4,3.0,1,1,0.2679
4,3.0,1,1,0.218
4,3.0,0,0,0.216
4,3.0,0,0,0.454
4,3.0,1,1,0.274
4,3.0,1,1,0.2238
4,3.0,1,1,0.2139
4,3.0,0,0,0.3397
4,3.0,0,0,0.3078
4,3.0,1,1,0.2778
4,3.0,1,1,0.242
4,3.0,1,1,0.3337
4,3.0,1,1,0.266
3,2.7556,0,0,0.2431
3,2.7556,0,0,0.3121
3,2.7556,0,0,0.2337
3,2.7556,0,0,0.2002
3,2.7556,0,0,0.1842
3,2.7556,1,1,0.3919
3,2.7556,0,0,0.4884
3,2.7556,0,0,0.222
3,2.7556,0,0,0.2057
3,2.7556,1,1,0.212
3,2.7556,0,0,0.184
3,2.7556,0,0,0.2341
3,2.7556,1,1,0.2559
3,2.7556,0,0,0.1957
3,2.7556,0,0,0.1818
3,2.7556,0,0,0.1501
3,2.7556,0,0,0.2781
3,2.7556,1,1,0.3321
3,2.7556,1,1,0.3026
3,2.7556,1,1,0.1862
4,2.7556,0,0,0.2744
4,2.7556,1,1,0.2317
4,2.7556,1,1,0.2078
4,2.7556,0,0,0.4475
4,2.7556,0,0,0.2459
4,2.7556,1,1,0.2192
4,2.7556,1,1,0.2521
4,2.7556,0,0,0.2656
4,2.7556,0,0,0.2941
4,2.7556,1,1,0.2359
4,2.7556,0,0,0.3065
4,2.7556,0,0,0.2535
4,2.7556,0,0,0.2921
4,2.7556,0,1,0.4059
4,2.7556,0,0,0.2458
4,2.7556,0,0,0.2198
4,2.7556,0,0,0.2359
4,2.7556,0,0,0.1861
4,2.7556,1,1,0.4517
4,2.7556,0,0,0.4957
3,2.5111,0,0,0.4496
